name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,43,157628546,,,fountain,,,"POLYGON ((-111.9387162 33.4162577, -111.9387226 33.4162411, -111.938735 33.4162269, -111.9387537 33.416216, -111.9387758 33.4162111, -111.9387985 33.4162128, -111.9388192 33.4162208, -111.9388354 33.4162341, -111.9388452 33.4162513, -111.9388474 33.4162703, -111.9388418 33.4162887, -111.9388302 33.4163034, -111.9388138 33.4163142, -111.9387941 33.4163202, -111.9387731 33.4163208, -111.938753 33.4163158, -111.9387357 33.4163058, -111.9387231 33.4162918, -111.9387164 33.4162753, -111.9387162 33.4162577))","POINT (-111.93878149053158 33.41626611179419)",,
Brickyard Artisan Courtyard,44,230588068,,university,,,,"POLYGON ((-111.9387914 33.4233473, -111.9390975 33.4233476, -111.9390971 33.4235927, -111.9390461 33.4236358, -111.9388491 33.4236376, -111.9387911 33.423591, -111.9387914 33.4233473))","POINT (-111.93894437620784 33.42348838500325)",,
Agave Hall,45,256986544,,dormitory,,,,"POLYGON ((-111.928965 33.4154856, -111.9289645 33.4153971, -111.9289464 33.4153926, -111.9289462 33.4153657, -111.9289432 33.4151163, -111.9289626 33.4151142, -111.9289621 33.4149547, -111.9284671 33.4149572, -111.9284661 33.414969, -111.9281221 33.4149668, -111.9281221 33.4150189, -111.9281011 33.4150197, -111.9280991 33.4150829, -111.9284917 33.4150862, -111.9284942 33.4150728, -111.9288268 33.4150726, -111.9288263 33.4152186, -111.928803 33.4152236, -111.9288099 33.4154194, -111.9287879 33.4154168, -111.928787 33.4154645, -111.9287879 33.4154837, -111.928965 33.4154856))","POINT (-111.92866277951141 33.415119665268115)",,
Cottonwood Hall,46,256986547,,dormitory,,,,"POLYGON ((-111.9270873 33.4155206, -111.9270855 33.4154607, -111.9270731 33.4154601, -111.9270726 33.4154338, -111.9270706 33.4149543, -111.9269334 33.4149546, -111.9269331 33.4151491, -111.9269151 33.4151501, -111.9269146 33.4154351, -111.9269148 33.4154634, -111.9268338 33.4154633, -111.9268338 33.4155503, -111.9269871 33.4155513, -111.9269878 33.4155184, -111.9270873 33.4155206))","POINT (-111.92698683729978 33.41527401379136)",,
Vista Del Sol J (West Tower),47,256986550,,residential,,,,"POLYGON ((-111.9297476 33.4144601, -111.9297265 33.4144604, -111.9297272 33.4145007, -111.9295961 33.4145022, -111.9295953 33.4144521, -111.9295296 33.4144528, -111.9295305 33.4145048, -111.9293188 33.4145073, -111.9293184 33.4144876, -111.9292725 33.4144881, -111.9292642 33.414019, -111.9293183 33.4140183, -111.9293176 33.4139812, -111.9295161 33.4139788, -111.929517 33.4140269, -111.9295761 33.4140262, -111.9295755 33.4139946, -111.9297183 33.4139929, -111.929719 33.4140343, -111.929749 33.4140339, -111.9297509 33.4141489, -111.9297109 33.4141494, -111.9297116 33.4141933, -111.9296046 33.4141945, -111.9296038 33.4141463, -111.929526 33.4141472, -111.9295268 33.4141947, -111.9294857 33.4141952, -111.9294875 33.4143031, -111.9295283 33.4143027, -111.929529 33.4143466, -111.9295931 33.4143459, -111.9295925 33.4143083, -111.9297061 33.414307, -111.9297068 33.4143518, -111.9297458 33.4143514, -111.9297476 33.4144601))","POINT (-111.92948323577237 33.41424376867219)",,
,48,256986554,,roof,,,,"POLYGON ((-111.9288843 33.4138853, -111.9287087 33.4138487, -111.9287066 33.413676, -111.9288864 33.4136307, -111.9290055 33.4137545, -111.9288843 33.4138853))","POINT (-111.92883755202077 33.41375881660439)",,
Vista Del Sol F,49,256986555,,residential,,,,"POLYGON ((-111.9301727 33.4132515, -111.9301477 33.4132511, -111.9301477 33.4132656, -111.9301117 33.4132651, -111.9301107 33.4132835, -111.9299967 33.4132819, -111.9299977 33.4132478, -111.9299837 33.4132459, -111.9299787 33.4132284, -111.9299257 33.4132296, -111.9299227 33.4131277, -111.9299777 33.4131265, -111.9299767 33.4130982, -111.9299367 33.4130991, -111.9299227 33.4130829, -111.9299187 33.4129846, -111.9299307 33.4129819, -111.9299307 33.4129574, -111.9299657 33.4129579, -111.9299657 33.4129395, -111.9299187 33.4129388, -111.9299207 33.412827, -111.9299717 33.4128278, -111.9299727 33.4128146, -111.9299907 33.4128149, -111.9299907 33.412795, -111.9300167 33.4127954, -111.9300177 33.412769, -111.9301197 33.4127705, -111.9301197 33.4127896, -111.9301527 33.4127901, -111.9301527 33.4128037, -111.9301717 33.412804, -111.9301687 33.4129226, -111.9301477 33.4129223, -111.9301477 33.4129396, -111.9301147 33.4129391, -111.9301137 33.4129717, -111.9301657 33.4129725, -111.9301637 33.4130919, -111.9301207 33.4130913, -111.9301197 33.4131189, -111.9301577 33.4131195, -111.9301577 33.4131345, -111.9301747 33.4131348, -111.9301727 33.4132515))","POINT (-111.93004871678879 33.41302695468861)",,
Vista Del Sol E,50,256992832,,residential,,,,"POLYGON ((-111.9304677 33.4126541, -111.9304507 33.4126541, -111.9304507 33.4126713, -111.9304127 33.4126713, -111.9304127 33.4126878, -111.9302417 33.412688, -111.9302417 33.4126696, -111.9302287 33.4126696, -111.9302277 33.4126373, -111.9301877 33.4126373, -111.9301877 33.4126741, -111.9301717 33.4126741, -111.9301717 33.4126845, -111.9300867 33.4126846, -111.9300867 33.4126724, -111.9300707 33.4126725, -111.9300707 33.412634, -111.9300277 33.412634, -111.9300277 33.4126707, -111.9300087 33.4126707, -111.9300087 33.4126829, -111.9299257 33.412683, -111.9299257 33.4126739, -111.9299067 33.4126714, -111.9299077 33.4126461, -111.9299077 33.4126445, -111.9298857 33.4126396, -111.9298847 33.4125298, -111.9299027 33.4125297, -111.9299027 33.4125008, -111.9299297 33.4125006, -111.9299297 33.4124816, -111.9300147 33.412481, -111.9300147 33.4124974, -111.9300337 33.4124973, -111.9300337 33.4125349, -111.9300657 33.4125347, -111.9300647 33.412499, -111.9300807 33.4124989, -111.9300797 33.412481, -111.9301737 33.4124804, -111.9301737 33.412498, -111.9301927 33.4124978, -111.9301927 33.412535, -111.9302217 33.4125348, -111.9302217 33.4125025, -111.9302447 33.4125023, -111.9302447 33.4124876, -111.9303027 33.4124872, -111.9303027 33.4124725, -111.9302887 33.4124726, -111.9302887 33.4124007, -111.9303087 33.4124006, -111.9303087 33.4123787, -111.9302387 33.4123791, -111.9302387 33.4123681, -111.9302237 33.4123682, -111.9302237 33.4123348, -111.9301857 33.4123351, -111.9301857 33.4123683, -111.9301667 33.4123685, -111.9301687 33.4123819, -111.9300797 33.412382, -111.9300797 33.412371, -111.9300647 33.412371, -111.9300647 33.4123393, -111.9300307 33.4123393, -111.9300307 33.4123687, -111.9300107 33.4123688, -111.9300107 33.4123822, -111.9299247 33.4123824, -111.9299247 33.4123714, -111.9299077 33.4123714, -111.9299077 33.4123366, -111.9298837 33.4123367, -111.9298837 33.4122279, -111.9299057 33.4122279, -111.9299057 33.4121984, -111.9299257 33.4121983, -111.9299257 33.4121823, -111.9300107 33.412182, -111.9300107 33.4121978, -111.9300267 33.4121977, -111.9300267 33.4122322, -111.9300637 33.412232, -111.9300637 33.4122015, -111.9300817 33.4122013, -111.9300817 33.4121823, -111.9301637 33.4121817, -111.9301637 33.4122005, -111.9301777 33.4122004, -111.9301787 33.4122314, -111.9302247 33.412231, -111.9302247 33.4122005, -111.9302457 33.4122003, -111.9302457 33.4121836, -111.9304077 33.4121822, -111.9304087 33.4122029, -111.9304417 33.4122026, -111.9304437 33.4122161, -111.9304627 33.412216, -111.9304627 33.4123228, -111.9304477 33.4123228, -111.9304477 33.41234, -111.9304207 33.41234, -111.9304207 33.4123786, -111.9304637 33.4123785, -111.9304637 33.4124895, -111.9304257 33.4124895, -111.9304257 33.4125303, -111.9304497 33.4125303, -111.9304507 33.4125451, -111.9304667 33.412545, -111.9304677 33.4126541))","POINT (-111.93019317159342 33.41243560771929)",,
Adelphi II Commons Community Center,51,257007832,,yes,,,,"POLYGON ((-111.9277839 33.4135495, -111.9277839 33.4134664, -111.9275039 33.4134673, -111.9275039 33.4135741, -111.9276169 33.4135738, -111.9276169 33.41355, -111.9277839 33.4135495))","POINT (-111.9276352691826 33.41351394353493)",,
Weatherup Center,52,257009022,,yes,,,,"POLYGON ((-111.9240713 33.4249454, -111.9236321 33.4249404, -111.9236318 33.424959, -111.9234838 33.4249573, -111.9234845 33.4249186, -111.9234122 33.4249177, -111.9234115 33.4249556, -111.9232783 33.424954, -111.9232743 33.4249361, -111.9228176 33.4249332, -111.9228202 33.4246477, -111.9232529 33.4246505, -111.9232526 33.4246743, -111.9233508 33.424675, -111.9233505 33.4247022, -111.9235595 33.424704, -111.9235598 33.4246752, -111.9236497 33.424676, -111.92365 33.424654, -111.9240759 33.4246588, -111.9240713 33.4249454))","POINT (-111.92344683336127 33.424802479954856)",,
