node_id,zone_id,x_coord,y_coord,meso_link_id,lane_no,is_boundary
3666,,-111.92819,33.4233667,162,1,
3667,,-111.9282641,33.4233664,162,1,
3668,,-111.9283382,33.4233661,162,1,
3669,,-111.9284124,33.4233658,162,1,
3670,,-111.9284834,33.4233798,162,1,
3671,,-111.9285528,33.4234017,162,1,
3672,,-111.9286013,33.4234479,162,1,
3673,,-111.9286478,33.4234963,162,1,
3674,,-111.9286802,33.4235522,162,1,
3675,,-111.9287127,33.4236081,162,1,
3676,,-111.9287417,33.4236652,162,1,
3677,,-111.9287688,33.4237231,162,1,
3678,,-111.9287958,33.423781,162,1,
3679,,-111.9288229,33.4238388,162,1,
3680,,-111.92885,33.4238967,162,1,
3681,,-111.9288771,33.4239546,162,1,
3682,,-111.9289042,33.4240124,162,1,
3683,,-111.9289312,33.4240703,162,1,
3684,,-111.9289583,33.4241282,162,1,
3685,,-111.9289854,33.424186,162,1,
3686,,-111.9290126,33.4242439,162,1,
3687,,-111.9274245,33.4233064,163,1,
3688,,-111.9273509,33.4233066,163,1,
3689,,-111.9272774,33.4233068,163,1,
3690,,-111.9272038,33.423307,163,1,
3691,,-111.9271302,33.4233072,163,1,
3692,,-111.9270566,33.4233074,163,1,
3693,,-111.926983,33.4233077,163,1,
3694,,-111.9269094,33.4233079,163,1,
3695,,-111.9268359,33.4233081,163,1,
3696,,-111.9267623,33.4233083,163,1,
3697,,-111.9266887,33.4233085,163,1,
3698,,-111.9266151,33.4233087,163,1,
3699,,-111.9265415,33.4233089,163,1,
3700,,-111.926468,33.4233094,163,1,
3701,,-111.9264689,33.4233726,164,1,
3702,,-111.9265424,33.4233721,164,1,
3703,,-111.926616,33.4233719,164,1,
3704,,-111.9266895,33.4233716,164,1,
3705,,-111.926763,33.4233714,164,1,
3706,,-111.9268366,33.4233712,164,1,
3707,,-111.9269101,33.423371,164,1,
3708,,-111.9269836,33.4233708,164,1,
3709,,-111.9270572,33.4233706,164,1,
3710,,-111.9271307,33.4233704,164,1,
3711,,-111.9272042,33.4233702,164,1,
3712,,-111.9272778,33.4233699,164,1,
3713,,-111.9273513,33.4233697,164,1,
3714,,-111.9274248,33.4233695,164,1,
3715,,-111.9275514,33.4244335,165,1,
3716,,-111.9275513,33.4243703,165,1,
3717,,-111.9275511,33.4243072,165,1,
3718,,-111.9275509,33.424244,165,1,
3719,,-111.9275507,33.4241808,165,1,
3720,,-111.9275506,33.4241177,165,1,
3721,,-111.9275504,33.4240545,165,1,
3722,,-111.9275502,33.4239914,165,1,
