link_id,from_node_id,to_node_id,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,geometry,macro_node_id,macro_link_id,meso_link_id,cell_type,additional_cost,lane_no,mvmt_txt_id,ctrl_type,allowed_uses
171,178,179,1,7.05,1,,,unclassified,15,"LINESTRING (-111.9293391 33.4284039, -111.9293373 33.4283404)",,8,7,1,0,1,,auto
172,179,180,1,7.05,1,,,unclassified,15,"LINESTRING (-111.9293373 33.4283404, -111.9293354 33.4282769)",,8,7,1,0,1,,auto
173,180,181,1,7.05,1,,,unclassified,15,"LINESTRING (-111.9293354 33.4282769, -111.9293336 33.4282133)",,8,7,1,0,1,,auto
174,181,182,1,7.05,1,,,unclassified,15,"LINESTRING (-111.9293336 33.4282133, -111.9293318 33.4281498)",,8,7,1,0,1,,auto
175,182,183,1,7.05,1,,,unclassified,15,"LINESTRING (-111.9293318 33.4281498, -111.9293300 33.4280863)",,8,7,1,0,1,,auto
176,183,184,1,7.05,1,,,unclassified,15,"LINESTRING (-111.9293300 33.4280863, -111.9293282 33.4280227)",,8,7,1,0,1,,auto
177,184,185,1,7.05,1,,,unclassified,15,"LINESTRING (-111.9293282 33.4280227, -111.9293268 33.4279592)",,8,7,1,0,1,,auto
178,185,186,1,7.05,1,,,unclassified,15,"LINESTRING (-111.9293268 33.4279592, -111.9293263 33.4278957)",,8,7,1,0,1,,auto
179,186,187,1,7.05,1,,,unclassified,15,"LINESTRING (-111.9293263 33.4278957, -111.9293258 33.4278321)",,8,7,1,0,1,,auto
180,187,188,1,7.05,1,,,unclassified,15,"LINESTRING (-111.9293258 33.4278321, -111.9293252 33.4277685)",,8,7,1,0,1,,auto
181,188,189,1,7.05,1,,,unclassified,15,"LINESTRING (-111.9293252 33.4277685, -111.9293247 33.4277050)",,8,7,1,0,1,,auto
182,189,190,1,7.05,1,,,unclassified,15,"LINESTRING (-111.9293247 33.4277050, -111.9293242 33.4276414)",,8,7,1,0,1,,auto
183,190,191,1,7.05,1,,,unclassified,15,"LINESTRING (-111.9293242 33.4276414, -111.9293237 33.4275779)",,8,7,1,0,1,,auto
